timestamp,frame_index,structural_dx_pixels,structural_dy_pixels,structural_displacement_pixels,velocity_x_pixels_s,velocity_y_pixels_s,velocity_magnitude_pixels_s,acceleration_x_pixels_s2,acceleration_y_pixels_s2,acceleration_magnitude_pixels_s2,optical_dominant_frequency_hz,valid_feature_count,tracking_quality,camera_fps
104248.1699,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0,LOST,0.0000
104248.2707,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0,LOST,9.9184
104248.3059,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,47,GOOD,14.7008
104248.3366,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,47,GOOD,18.0017
104248.3495,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,47,GOOD,22.2674
104248.3580,6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,47,GOOD,26.5779
104248.3890,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,47,GOOD,27.3863
104248.4223,8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,47,GOOD,27.7336
104248.4529,9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,47,GOOD,28.2732
104248.4851,10,-0.0007,0.0001,0.0007,-0.0208,0.0028,0.0210,-0.3398,0.0463,0.3429,,47,GOOD,28.5491
104248.5330,11,-4.2811,-25.3224,25.6817,-89.4345,-528.9983,536.5052,-1183.8169,-7001.8909,7101.2604,,22,GOOD,27.5395
104248.5627,12,0.0000,0.0000,25.6817,0.0000,0.0000,0.0000,-187.1969,-1107.7820,1123.4873,,19,GOOD,28.0052
104248.5924,13,0.0000,0.0000,25.6817,0.0000,0.0000,0.0000,377.0690,2229.4501,2261.1123,,19,GOOD,28.4046
104248.6220,14,0.0000,0.0000,25.6817,0.0000,0.0000,0.0000,639.9066,3784.1874,3837.9102,,19,GOOD,28.7545
104248.6533,15,0.0000,0.0000,25.6817,0.0000,0.0000,0.0000,573.7127,3393.1969,3441.3560,,19,GOOD,28.9618
104248.6840,16,0.0000,0.0000,25.6817,0.0000,0.0000,0.0000,192.6745,1140.3779,1156.5402,,19,GOOD,29.1798
104248.7170,17,0.0000,0.0000,25.6817,0.0000,0.0000,0.0000,-555.5016,-3285.7486,3332.3754,,19,GOOD,29.2445
104248.7500,18,0.0000,0.0000,25.6817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,19,GOOD,29.3053
104248.7937,19,0.0000,0.0000,25.6817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,19,GOOD,28.8534
104248.8250,20,0.0000,0.0000,25.6817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,19,GOOD,29.0024
104248.8570,21,0.0000,0.0000,25.6817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,19,GOOD,29.1080
104248.8908,22,0.0000,0.0000,25.6817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,19,GOOD,29.1289
104248.9208,23,0.0000,0.0000,25.6817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,19,GOOD,29.2972
104248.9528,24,0.0000,0.0000,25.6817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,19,GOOD,29.3763
104248.9815,25,0.0000,0.0000,25.6817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,19,GOOD,29.5697
104249.0141,26,0.0000,0.0000,25.6817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,19,GOOD,29.6128
104249.0468,27,0.0000,0.0000,25.6817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,19,GOOD,29.6510
104249.0775,28,0.0000,0.0000,25.6817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,19,GOOD,29.7499
104249.1241,29,0.0000,0.0000,25.6817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,19,GOOD,29.3444
104249.1608,30,0.0000,0.0000,25.6817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,19,GOOD,29.2650
104249.1892,31,0.0000,0.0000,25.6817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,19,GOOD,31.5724
